simulations,probability_estimate,variance,error
257000,1.933502E-07,2.078655E-10,2.843968E-08
258000,1.933194E-07,2.072022E-10,2.833918E-08
259000,1.925896E-07,2.064057E-10,2.823001E-08
260000,1.917143E-07,2.056120E-10,2.812144E-08
261000,1.915952E-07,2.049234E-10,2.802047E-08
262000,1.919806E-07,2.042615E-10,2.792175E-08
263000,1.913398E-07,2.034884E-10,2.781583E-08
264000,1.919508E-07,2.031068E-10,2.773705E-08
265000,1.926619E-07,2.029797E-10,2.767600E-08
266000,1.941137E-07,2.036323E-10,2.766830E-08
267000,1.933907E-07,2.028746E-10,2.756502E-08
268000,1.934190E-07,2.022292E-10,2.746974E-08
269000,2.336684E-07,6.449725E-10,4.896598E-08
270000,2.327111E-07,6.425844E-10,4.878465E-08
271000,2.317233E-07,6.402135E-10,4.860464E-08
272000,2.321206E-07,6.381417E-10,4.843665E-08
273000,2.312225E-07,6.358062E-10,4.825930E-08
274000,2.331740E-07,6.346212E-10,4.812625E-08
275000,2.349914E-07,6.339358E-10,4.801272E-08
276000,2.340132E-07,6.316392E-10,4.783877E-08
277000,2.342448E-07,6.297593E-10,4.768123E-08
278000,2.337468E-07,6.275149E-10,4.751050E-08
279000,2.330945E-07,6.252805E-10,4.734077E-08
280000,2.345388E-07,6.242125E-10,4.721579E-08
281000,2.342100E-07,6.220339E-10,4.704938E-08
282000,2.350680E-07,6.201880E-10,4.689614E-08
283000,2.342097E-07,6.179993E-10,4.673054E-08
284000,2.338122E-07,6.158519E-10,4.656708E-08
285000,2.328690E-07,6.136913E-10,4.640369E-08
286000,2.323479E-07,6.115817E-10,4.624281E-08
287000,2.314703E-07,6.094518E-10,4.608173E-08
288000,2.305451E-07,6.073359E-10,4.592173E-08
289000,2.299841E-07,6.052630E-10,4.576391E-08
290000,2.292398E-07,6.031793E-10,4.560624E-08
291000,2.302680E-07,6.016297E-10,4.546929E-08
292000,2.300447E-07,5.996402E-10,4.531625E-08
293000,2.291401E-07,5.975939E-10,4.516160E-08
294000,2.288827E-07,5.956139E-10,4.500997E-08
295000,2.281644E-07,5.936016E-10,4.485765E-08
296000,2.282676E-07,5.916902E-10,4.470966E-08
297000,2.293931E-07,5.904334E-10,4.458690E-08
298000,2.290124E-07,5.884865E-10,4.443857E-08
299000,2.283200E-07,5.865223E-10,4.429010E-08
300000,2.313031E-07,5.865524E-10,4.421736E-08
301000,2.304203E-07,5.846039E-10,4.407046E-08
302000,2.298068E-07,5.826890E-10,4.392532E-08
303000,2.291118E-07,5.807712E-10,4.378055E-08
304000,2.323930E-07,5.828281E-10,4.378582E-08
305000,2.342572E-07,5.819060E-10,4.367938E-08
306000,2.356809E-07,5.814596E-10,4.359122E-08
307000,2.366949E-07,5.800741E-10,4.346829E-08
308000,2.359278E-07,5.781950E-10,4.332732E-08
309000,2.351846E-07,5.763295E-10,4.318731E-08
310000,2.353361E-07,5.746327E-10,4.305408E-08
311000,2.350197E-07,5.728431E-10,4.291782E-08
312000,2.363011E-07,5.715151E-10,4.279929E-08
313000,2.365160E-07,5.698012E-10,4.266674E-08
314000,2.357862E-07,5.679924E-10,4.253108E-08
315000,2.375389E-07,5.683174E-10,4.247567E-08
316000,2.371506E-07,5.665670E-10,4.234304E-08
317000,2.363465E-07,5.647808E-10,4.220951E-08
318000,2.356871E-07,5.630133E-10,4.207710E-08
319000,2.348537E-07,5.612486E-10,4.194520E-08
320000,2.342632E-07,5.595017E-10,4.181438E-08
321000,2.337615E-07,5.577762E-10,4.168478E-08
322000,2.332158E-07,5.560709E-10,4.155633E-08
323000,2.492656E-07,6.392768E-10,4.448803E-08
324000,2.485197E-07,6.373067E-10,4.435083E-08
325000,2.480902E-07,6.353659E-10,4.421507E-08
326000,2.484757E-07,6.337314E-10,4.409038E-08
327000,2.478398E-07,6.318022E-10,4.395585E-08
328000,2.471691E-07,6.298870E-10,4.382222E-08
329000,2.463387E-07,6.279729E-10,4.368904E-08
330000,2.458157E-07,6.260841E-10,4.355714E-08
331000,2.453638E-07,6.242321E-10,4.342692E-08
332000,2.447320E-07,6.223670E-10,4.329664E-08
333000,2.441495E-07,6.205126E-10,4.316713E-08
334000,2.433649E-07,6.186554E-10,4.303791E-08
335000,2.433697E-07,6.170424E-10,4.291757E-08
336000,2.428565E-07,6.152394E-10,4.279100E-08
337000,2.421663E-07,6.134200E-10,4.266424E-08
338000,2.413828E-07,6.116059E-10,4.253804E-08
339000,2.411661E-07,6.098459E-10,4.241410E-08
