simulations,probability_estimate,variance,error
324000,0.0006334589,0.0001409509,2.085746e-05
325000,0.0006335976,0.0001405935,2.079893e-05
326000,0.0006337612,0.0001402102,2.073867e-05
327000,0.0006333807,0.0001397833,2.06754e-05
328000,0.0006331115,0.000139365,2.061294e-05
329000,0.0006327780000000001,0.0001389442,2.055049e-05
330000,0.0006327486,0.0001385538,2.049049e-05
331000,0.0006323067,0.0001381361,2.042865e-05
332000,0.0006319459000000001,0.0001377213,2.036721e-05
333000,0.0006317354,0.0001373139,2.03065e-05
334000,0.0006320462,0.0001369554,2.02496e-05
335000,0.0006315874,0.000136547,2.018918e-05
336000,0.0006312981,0.0001361444,2.012938e-05
337000,0.0006310602,0.0001357452,2.007e-05
338000,0.0006311396,0.0001353869,2.001382e-05
339000,0.0006307327,0.0001349884,1.995484e-05
340000,0.0006304881,0.0001346007,1.989685e-05
341000,0.0006303088,0.0001342109,1.983886e-05
342000,0.0006299189,0.0001338234,1.978121e-05
343000,0.0006298462000000001,0.0001334555,1.972519e-05
344000,0.0006323068000000001,0.0001356283,1.985619e-05
345000,0.0006322335,0.0001352531,1.979995e-05
346000,0.0006318898,0.0001348652,1.974294e-05
347000,0.0006315826,0.0001344814,1.96864e-05
348000,0.0006313551,0.0001341046,1.963054e-05
349000,0.000631969,0.0001339059,1.958786e-05
350000,0.000631635,0.0001335276,1.953222e-05
351000,0.0006313334,0.0001331505,1.947681e-05
352000,0.0006311974,0.0001327963,1.942324e-05
353000,0.0006309517000000001,0.0001324307,1.936899e-05
354000,0.0006307852,0.0001320606,1.931457e-05
355000,0.0006304163000000001,0.0001316897,1.926024e-05
356000,0.0006302693,0.0001313401,1.920762e-05
357000,0.0006304326,0.0001310278,1.915789e-05
358000,0.0006303576,0.0001306866,1.910619e-05
359000,0.0006302628,0.0001303606,1.905575e-05
360000,0.0006298466000000001,0.0001299992,1.900286e-05
361000,0.000629533,0.000129641,1.895036e-05
362000,0.0006291881,0.0001292844,1.889813e-05
363000,0.0006291770000000001,0.0001289733,1.884936e-05
364000,0.0006290017,0.0001286253,1.879803e-05
365000,0.0006287441,0.0001282757,1.874674e-05
366000,0.0006285292,0.00012793,1.869587e-05
367000,0.0006283929000000001,0.000127591,1.864563e-05
368000,0.0006280658,0.0001272461,1.859509e-05
369000,0.0006276547000000001,0.0001269019,1.854474e-05
370000,0.0006272552,0.0001265596,1.849467e-05
371000,0.0006268215,0.0001262186,1.844484e-05
372000,0.000627089,0.0001259211,1.83983e-05
373000,0.000628011,0.0001259838,1.83782e-05
374000,0.0006280388,0.0001256839,1.833175e-05
375000,0.0006277342,0.0001253503,1.828298e-05
376000,0.0006274132,0.0001250181,1.823445e-05
377000,0.0006270228,0.0001246871,1.818612e-05
378000,0.0006269193,0.0001243651,1.813858e-05
379000,0.0006268391000000001,0.0001240446,1.809128e-05
380000,0.0006265352,0.0001237218,1.804394e-05
381000,0.0006261144,0.0001233973,1.799659e-05
382000,0.0006262025,0.0001231138,1.795237e-05
383000,0.0006260624000000001,0.000122805,1.790641e-05
384000,0.0006257997,0.0001224902,1.786015e-05
385000,0.0006264263,0.0001226152,1.784604e-05
386000,0.0006261045,0.0001222984,1.779987e-05
387000,0.0006259247000000001,0.0001219865,1.775417e-05
388000,0.0006255955,0.0001216752,1.770864e-05
389000,0.0006254604,0.0001213682,1.766354e-05
390000,0.0006251853,0.000121059,1.761839e-05
391000,0.0006260794,0.0001213185,1.761469e-05
392000,0.0006259162000000001,0.0001210123,1.757e-05
393000,0.000626039,0.000120732,1.75273e-05
394000,0.0006257305000000001,0.000120427,1.748291e-05
395000,0.0006254796,0.0001201285,1.743912e-05
396000,0.0006253470000000001,0.0001198292,1.739537e-05
397000,0.0006250870000000001,0.0001195304,1.735177e-05
398000,0.0006262989,0.0001200124,1.736487e-05
399000,0.0006260453,0.0001197142,1.732154e-05
400000,0.0006256195,0.0001194151,1.727824e-05
401000,0.0006254519,0.0001191347,1.723641e-05
402000,0.0006253254000000001,0.0001188458,1.719408e-05
403000,0.000624951,0.0001185512,1.715144e-05
404000,0.0006247656,0.0001182647,1.710948e-05
405000,0.0006251618,0.0001180723,1.707444e-05
406000,0.0006249658,0.0001177874,1.703281e-05
407000,0.0006252532,0.0001175537,1.699499e-05
408000,0.0006249719000000001,0.0001172666,1.695341e-05
409000,0.0006248596000000001,0.0001169881,1.691255e-05
410000,0.0006246615,0.0001167063,1.687156e-05
411000,0.000624506,0.0001164299,1.683106e-05
412000,0.0006242572,0.0001161489,1.679032e-05
413000,0.0006242007,0.0001158959,1.675171e-05
414000,0.0006239568,0.0001156185,1.671143e-05
415000,0.0006237957,0.0001153422,1.667132e-05
416000,0.0006237102,0.0001150773,1.663214e-05
417000,0.0006234484,0.0001148031,1.659238e-05
418000,0.0006231128,0.0001145294,1.655276e-05
419000,0.000622924,0.0001142595,1.65135e-05
420000,0.0006227758000000001,0.0001140073,1.647561e-05
421000,0.0006229643,0.0001138101,1.64418e-05
422000,0.0006226241,0.0001135408,1.640287e-05
423000,0.0006227755000000001,0.0001133339,1.636853e-05
424000,0.0006230075,0.0001131245,1.633411e-05
425000,0.0006230077,0.0001128809,1.62973e-05
426000,0.0006227147,0.0001126166,1.625909e-05
427000,0.0006223439,0.0001123534,1.622106e-05
428000,0.0006221305,0.0001120936,1.618335e-05
429000,0.0006220287,0.0001118372,1.614598e-05
430000,0.0006217379,0.0001115781,1.610851e-05
431000,0.0006219485,0.0001114297,1.60791e-05
432000,0.0006217527,0.0001111742,1.604206e-05
433000,0.0006216296,0.0001109269,1.600569e-05
434000,0.0006215606,0.0001106957,1.597057e-05
435000,0.0006213755,0.0001104453,1.593415e-05
436000,0.0006212787,0.0001102101,1.589892e-05
437000,0.0006215948,0.0001100029,1.586578e-05
438000,0.0006213069,0.0001097529,1.582964e-05
439000,0.0006213303,0.0001095167,1.579458e-05
440000,0.0006211818,0.00010928,1.575956e-05
441000,0.0006228741000000001,0.0001099813,1.579211e-05
442000,0.0006235726,0.0001098239,1.576294e-05
443000,0.0006236501,0.0001096132,1.573003e-05
444000,0.0006270076,0.0001148785,1.608525e-05
445000,0.0006267884,0.0001146237,1.604934e-05
446000,0.0006264368,0.000114367,1.601338e-05
447000,0.0006260895,0.0001141116,1.597758e-05
448000,0.000625886,0.0001138618,1.594227e-05
449000,0.0006257092,0.0001136119,1.590702e-05
450000,0.0006311942,0.000123644,1.657602e-05
451000,0.000630886,0.0001233708,1.653933e-05
452000,0.0006305802,0.0001230987,1.650279e-05
453000,0.0006303368000000001,0.0001228294,1.646653e-05
454000,0.0006300926,0.0001225612,1.643042e-05
455000,0.0006309794,0.0001226322,1.641711e-05
456000,0.0006308988,0.0001223714,1.638165e-05
457000,0.0006315310000000001,0.0001222946,1.635858e-05
458000,0.0006312678000000001,0.0001220353,1.632338e-05
459000,0.0006311131,0.000121773,1.628806e-05
460000,0.0006312305,0.0001215344,1.625439e-05
461000,0.0006312067000000001,0.0001212897,1.62204e-05
462000,0.0006309673,0.0001210289,1.618541e-05
463000,0.0006312412,0.0001208221,1.61541e-05
464000,0.0006310018,0.000120563,1.611937e-05
465000,0.0006307288,0.0001203049,1.608478e-05
466000,0.0006305098000000001,0.0001200568,1.605094e-05
467000,0.0006303398,0.0001198075,1.601709e-05
468000,0.0006301441,0.0001195606,1.598347e-05
469000,0.0006301436,0.0001193364,1.595145e-05
470000,0.0006298625000000001,0.0001190833,1.591756e-05
471000,0.0006297213000000001,0.0001188351,1.588407e-05
472000,0.0006294726,0.0001185845,1.58505e-05
473000,0.0006292257,0.0001183357,1.581712e-05
474000,0.0006290734,0.0001180907,1.578406e-05
475000,0.0006289156000000001,0.0001178453,1.575104e-05
476000,0.0006291883,0.0001176552,1.572179e-05
477000,0.0006293206,0.0001174465,1.569137e-05
478000,0.0006290292,0.0001172017,1.56586e-05
479000,0.0006288551,0.0001169588,1.562603e-05
480000,0.0006287571,0.0001167343,1.559476e-05
481000,0.0006285798,0.0001165008,1.556295e-05
482000,0.0006284504,0.000116263,1.553092e-05
483000,0.0006282340000000001,0.0001160243,1.54989e-05
484000,0.0006282852,0.0001158066,1.546835e-05
485000,0.0006282043,0.0001155827,1.543745e-05
486000,0.0006285096,0.0001154885,1.541528e-05
