simulations,probability_estimate,variance,error
437000,1.473883E-06,4.935777E-08,3.360756E-07
438000,1.472172E-06,4.924519E-08,3.353087E-07
439000,1.469409E-06,4.913303E-08,3.345450E-07
440000,1.467446E-06,4.902174E-08,3.337859E-07
441000,1.464927E-06,4.891063E-08,3.330292E-07
442000,1.465821E-06,4.880498E-08,3.322928E-07
443000,1.463397E-06,4.869489E-08,3.315430E-07
444000,1.460784E-06,4.858524E-08,3.307963E-07
445000,1.458775E-06,4.847624E-08,3.300536E-07
446000,1.456472E-06,4.836763E-08,3.293138E-07
447000,1.454610E-06,4.825966E-08,3.285779E-07
448000,1.456390E-06,4.815701E-08,3.278618E-07
449000,1.454416E-06,4.804992E-08,3.271321E-07
450000,1.452672E-06,4.794349E-08,3.264063E-07
451000,1.450193E-06,4.783724E-08,3.256828E-07
452000,1.449915E-06,4.773294E-08,3.249674E-07
453000,1.454946E-06,4.764817E-08,3.243202E-07
454000,1.452453E-06,4.754325E-08,3.236060E-07
455000,1.449537E-06,4.743877E-08,3.228948E-07
456000,1.447547E-06,4.733503E-08,3.221877E-07
457000,1.447429E-06,4.723317E-08,3.214885E-07
458000,1.451784E-06,4.714254E-08,3.208291E-07
459000,1.449136E-06,4.703985E-08,3.201302E-07
460000,1.446900E-06,4.693763E-08,3.194344E-07
461000,1.445019E-06,4.683597E-08,3.187420E-07
462000,1.442724E-06,4.673463E-08,3.180522E-07
463000,1.440221E-06,4.663371E-08,3.173653E-07
464000,1.465979E-06,4.688662E-08,3.178817E-07
465000,1.463582E-06,4.678581E-08,3.171981E-07
466000,1.460886E-06,4.668543E-08,3.165175E-07
467000,1.459691E-06,4.658595E-08,3.158414E-07
468000,1.458846E-06,4.648745E-08,3.151700E-07
469000,1.463256E-06,4.640166E-08,3.145432E-07
470000,1.462950E-06,4.630427E-08,3.138785E-07
471000,1.462582E-06,4.620673E-08,3.132147E-07
472000,1.459775E-06,4.610885E-08,3.125512E-07
473000,1.457570E-06,4.601155E-08,3.118910E-07
474000,1.455281E-06,4.591451E-08,3.112331E-07
475000,1.452620E-06,4.581786E-08,3.105779E-07
476000,1.450545E-06,4.572168E-08,3.099257E-07
477000,1.449875E-06,4.562782E-08,3.092827E-07
478000,1.447901E-06,4.553247E-08,3.086361E-07
479000,1.445549E-06,4.543749E-08,3.079920E-07
480000,1.443025E-06,4.534285E-08,3.073504E-07
481000,1.440536E-06,4.524859E-08,3.067115E-07
482000,1.438305E-06,4.515476E-08,3.060753E-07
483000,1.435799E-06,4.506128E-08,3.054416E-07
484000,1.438033E-06,4.497688E-08,3.048400E-07
485000,1.436129E-06,4.488426E-08,3.042119E-07
486000,1.433515E-06,4.479192E-08,3.035860E-07
487000,1.431128E-06,4.469996E-08,3.029626E-07
488000,1.430717E-06,4.460957E-08,3.023459E-07
489000,1.429525E-06,4.451854E-08,3.017283E-07
490000,1.427306E-06,4.442774E-08,3.011127E-07
491000,1.425535E-06,4.433735E-08,3.004998E-07
492000,1.423164E-06,4.424725E-08,2.998890E-07
493000,1.420634E-06,4.415751E-08,2.992808E-07
494000,1.418359E-06,4.406816E-08,2.986751E-07
495000,1.418597E-06,4.398154E-08,2.980798E-07
496000,1.417863E-06,4.389329E-08,2.974803E-07
497000,1.415297E-06,4.380498E-08,2.968818E-07
498000,1.413628E-06,4.371729E-08,2.962866E-07
499000,1.411299E-06,4.362971E-08,2.956929E-07
500000,1.413203E-06,4.354610E-08,2.951139E-07
501000,1.410882E-06,4.345923E-08,2.945250E-07
502000,1.409956E-06,4.337325E-08,2.939403E-07
503000,1.407382E-06,4.328703E-08,2.933559E-07
504000,1.405275E-06,4.320117E-08,2.927740E-07
505000,1.408328E-06,4.312092E-08,2.922122E-07
506000,1.405923E-06,4.303571E-08,2.916347E-07
507000,1.403759E-06,4.295089E-08,2.910597E-07
508000,1.410484E-06,4.288627E-08,2.905543E-07
509000,1.408373E-06,4.280205E-08,2.899836E-07
510000,1.406836E-06,4.271848E-08,2.894162E-07
511000,1.404555E-06,4.263489E-08,2.888498E-07
